Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID,Relevance,Relation,Possible use
Patricia P.M.A.; Enrique E.-C.J.; Enrique S.E.Á.,"Patricia, Pertuz Martínez Aylin (58046830000); Enrique, Elías-Caro Jorge (58046937900); Enrique, Santamaría Escobar Álvaro (58046938000)",58046830000; 58046937900; 58046938000,Sustainability of the Colombian livestock sector: A historiographic approach; [Sostenibilidad del sector ganadero colombiano: Una aproximación historiográfica],2022,Revista de Ciencias Sociales,28,4,,245.0,263.0,18.0,0,10.31876/rcs.v28i4.39128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145950410&doi=10.31876%2frcs.v28i4.39128&partnerID=40&md5=76b6e637e13e04caff2aabbf45235b01,"Livestock has been one of the most representative aspects of The Colombian economy, in which sustainability has been considered an important subject of study. The purpose of this work is to analyze the economic, social and environmental sustainability of the livestock sector from the 19th century, according to what has been exposed in the national historiography. The research was done with the qualitative approach and documentary design. The analytical-synthetic method was used. The method of analysis was heuristic, which allows finding new knowledge from historical aspects. The method of synthesis was hermeneuttical. The sources were secondary. The mechanism for collecting information was through a bibliographic record. Information retrieval was done through hermeneutic interpretation. The results indicate that livestock activity in Colombia has not been socially or environmentally sustainable, which is reflected in the negative impact of the activity on peasant communities and the natural world. It has been economically sustainable for the livestock entrepreneur, although the rate of return has different views among the authors. It is concluded that the sustainability of Colombian livestock has been weak, because it has presented economic benefits, but has not had positive social and environmental effects. © 2022,Revista de Ciencias Sociales.All Rights Reserved.",Colombia; Economic sustainability; Environmental sustainability; Livestock; Social sustainability,,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85145950410,Possibly,Sustainability,"
While the reference paper focuses on the sustainability of the Colombian livestock sector from a historical perspective, it touches upon the social and environmental impacts of this industry.  

Here's how it *could* be potentially useful:

* **Contextual Background:** The paper could provide historical context for the challenges of achieving sustainable consumption practices within a specific industry. You could briefly mention the Colombian livestock example to illustrate the long-standing complexities surrounding sustainability.
* **Illustrative Example:** The paper's findings on the negative social and environmental impacts of unsustainable livestock practices could serve as a real-world example to support your argument about the importance of accessible information for responsible consumption.

**Important Considerations:**

* **Limited Direct Relevance:** The reference paper doesn't directly address information-seeking processes, information availability, or information asymmetries, which are the core focus of your research. 
* **Geographic Specificity:** The Colombian context might not be directly transferable to other regions or consumption contexts.

**Recommendation:**

Use the reference paper cautiously and selectively. It could offer some valuable context or illustrative examples, but it shouldn't be a central pillar of your argument."
Donnan J.R.; Howells R.; Farooq S.; Maillet M.; Harris-Lane L.M.,"Donnan, Jennifer R. (16033195300); Howells, Rachel (57569020200); Farooq, Sylvia (59253733100); Maillet, Myles (57226377975); Harris-Lane, Laura M. (57217120617)",16033195300; 57569020200; 59253733100; 57226377975; 57217120617,Bridging the gap: Exploring consumer experiences and motivations for transitioning between illicit and regulated cannabis markets,2024,International Journal of Drug Policy,134,,104644,,,,0,10.1016/j.drugpo.2024.104644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207969113&doi=10.1016%2fj.drugpo.2024.104644&partnerID=40&md5=ae870d597e75e8a9948d80f5270c550c,"Background: Canada pioneered the non-medical legalization of cannabis production and sales, witnessing substantial growth in the regulated market over the last five years, post-legalization. However, persistent barriers hinder many consumers from transitioning to the legal market, necessitating a nuanced understanding of their behaviors for targeted policy interventions. This study aims to improve understanding of cannabis consumers’ unregulated purchase decisions in British Columbia (B.C.), and to explore motivational factors for transitioning to the legal market. Methods: We conducted semi-structured interviews with cannabis consumers in B.C., who were at least 19 years old and purchased some or all of their cannabis through unregulated sources. Interviews were transcribed and an inductive thematic analysis was conducted using NVivo. Through coding iterations, we moved from descriptive to analytic codes, and finally mapped the codes to themes aligned with the Five Stages of Consumer Decision Making model. Results: Participants (N = 31) represented a broad range of demographic characteristics (i.e., gender, age, education, income). Four themes were identified: seeking information, evaluation of alternatives, purchase decision, and post purchase evaluation. Despite purchasing all or some of their cannabis from the unregulated market, most participants were supportive of legalization and felt that legal cannabis is safe, accessible, and of reasonable quality. However, several barriers prevent consumers from regularly accessing the regulated market, including: price, lack of sales and promotions, potency, limited product variety, and inadequate product interaction. Conclusion: This study delineates barriers that obstruct consumers' transition to the regulated market. These findings, aligned with considerations for public health and safety, offer valuable insights to inform cannabis policy and promote a more effective and consumer-oriented regulatory framework. © 2024",Cannabis; Cannabis sourcing; Unregulated drug market,,Article,Final,,Scopus,2-s2.0-85207969113,Possibly,"Information seeking, availability","
While the reference paper focuses on cannabis consumption rather than broader sustainable or ethical consumption, it offers valuable insights into consumer information-seeking behaviors and the barriers they face when making purchasing decisions.  

Here's how you could potentially utilize this paper:

* **Information Seeking Challenges:** The paper highlights specific challenges consumers face in accessing information about the regulated cannabis market (price, lack of promotions, limited variety, etc.). You could draw parallels to these challenges in the context of sustainable or ethical consumption. For example, are there similar information barriers preventing consumers from accessing information about the ethical sourcing or environmental impact of products?
* **Influence of Information Availability:** The study demonstrates how limited information availability can hinder consumers from making choices aligned with their preferences (in this case, transitioning to the legal market). This supports your argument about the importance of accessible and transparent information in driving responsible consumption. You could cite this paper as evidence that information barriers can have a tangible impact on consumer behavior.
* **Qualitative Insights:** The paper's qualitative approach (interviews) provides rich insights into consumer motivations and decision-making processes. While the context is different, the methodology could inspire your own research. You might consider using similar qualitative methods to explore consumer perspectives on information seeking related to sustainable or ethical consumption.


**Important Note:**

It's crucial to acknowledge the limitations of applying findings from the cannabis market to broader sustainable consumption. The context is specific, and consumer motivations may differ significantly. However, the paper can still offer valuable insights into information-seeking behaviors and the impact of information availability on consumer choices."
Ratner S.; Gomonov K.; Revinova S.; Lazanyuk I.,"Ratner, Svetlana (7004582325); Gomonov, Konstantin (57214246029); Revinova, Svetlana (59017660200); Lazanyuk, Inna (57214988996)",7004582325; 57214246029; 59017660200; 57214988996,Ecolabeling as a policy instrument for more sustainable development: The evidence of supply and demand interactions from Russia,2021,Sustainability (Switzerland),13,17,9581,,,,4,10.3390/su13179581,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113986141&doi=10.3390%2fsu13179581&partnerID=40&md5=3ba5e9f4cca3e5a3997823ebbf81e12a,"Ecolabeling can complement more conventional policy instruments such as taxes and subsidies to stimulate more sustainable development of the economy. However, in practice, ecolabels may not always comply with legal requirements in terms of reliability, accuracy and clarity, and sometimes deliberately mislead the consumer. In Russia and many other developing countries, the problem of inaccurate information on the environmental properties of goods and services is still not recognized. The only regulatory document that currently defines the basic principles for developing and using environmental labels and declarations is the national versions of international standards ISO 14020/14021/14024/14025-Environmental Labels Package. This paper contributes to the literature in two main dimensions. It assesses the degree of prevalence of ecolabeling in the Russian market of everyday goods and the reliability and informational content of frequently used labels (supply-side research). Second, it estimates the consumers’ awareness and reaction to ecolabeled products (demand-side research). The most obvious finding to emerge from this study is that low consumer awareness keeps the level of greenwashing low, but at the same time does not stimulate eco-innovations. We suggest developing smartphone applications that allow buyers to check the compliance of ecolabels on a product with ISO standards directly during the shopping process. We propose to use this approach as a cost-effective and straightforward way to simultaneously raise consumer awareness of ecolabeling and reduce the likelihood of greenwashing. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Ecolabels; Greenwashing; Sustainable consumption; Voluntary environmental certification systems,Russian Federation; ecolabeling; instrumentation; maximum likelihood analysis; policy making; sustainable development,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85113986141,Yes,"Asymmetries, Availability","
This paper is relevant to your research because it directly addresses the issue of **information asymmetries** in the context of sustainable consumption. The authors highlight how inaccurate or misleading ecolabels (greenwashing) can create a barrier to informed decision-making for consumers seeking ethically responsible products. This aligns with your focus on information barriers and their influence on consumer behavior.

Furthermore, the paper discusses the **availability of information** regarding ecolabels and its impact on consumer awareness and purchasing decisions. Their findings on low consumer awareness in Russia due to limited access to reliable information resonate with your interest in how accessible and transparent information can drive responsible consumption.

Here's how you can utilize this paper in your research:

* **Support your argument:** You can cite this paper to support your claims about the existence of information asymmetries in sustainable consumption and the negative impact of greenwashing on consumer choices.
* **Provide real-world context:** The Russian case study offers a concrete example of how information barriers can hinder responsible consumption. You can use this example to illustrate the broader issue you're addressing in your paper.
* **Explore potential solutions:** The authors propose smartphone applications to improve information access and combat greenwashing. This aligns with your suggestion of improved information systems and decision-support tools, providing a potential solution to address the information barriers you identify.



By incorporating this reference, you can strengthen your arguments, provide real-world context, and explore potential solutions related to information asymmetries and availability in the realm of responsible consumption."
Badhwar A.; Islam S.; Tan C.S.L.; Panwar T.; Wigley S.; Nayak R.,"Badhwar, Aayushi (58723695100); Islam, Saniyat (51663469200); Tan, Caroline Swee Lin (56204948900); Panwar, Tarun (57219513705); Wigley, Stephen (16403589600); Nayak, Rajkishore (15136600000)",58723695100; 51663469200; 56204948900; 57219513705; 16403589600; 15136600000,Unraveling Green Marketing and Greenwashing: A Systematic Review in the Context of the Fashion and Textiles Industry,2024,Sustainability (Switzerland) ,16,7,2738,,,,2,10.3390/su16072738,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190395348&doi=10.3390%2fsu16072738&partnerID=40&md5=079770a1742af229a6aad60c9699b52d,"Greenwashing is a prevalent issue in the fashion and textile industry, a sector known as one of the largest industrial polluters worldwide. The multi-trillion-dollar industry’s trend-driven, low-cost production models and the availability of numerous distribution options have led to mass consumption, significantly impacting consumer behavior. The aim of this review is to document and analyze the direct and indirect practices of greenwashing in the fashion industry and its impact on consumers. It also seeks to highlight the existence of greenwashing in the industry’s supply and consumption chain. A Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology was employed to examine the complex implications of greenwashing within the fashion industry. Relevant studies from the past decade were identified through comprehensive searches on Elsevier Science Direct, Google Scholar, Web of Science, and Scopus. This review found that some companies resort to greenwashing by promoting a green image without making substantial environmental or social changes. It also revealed varied interpretations and misinterpretations of green-related terms by consumers. The findings underscore the need for transparency and honesty in the fashion industry’s green marketing strategies. They also highlight the importance of consumer education to prevent misinterpretation of green-related terms and to promote sustainable consumption practices. © 2024 by the authors.",circular economy; consumption chain; fashion and textile industry; green marketing; greenwashing; supply chain; sustainability,economic conditions; marketing; supply chain management; sustainability,Review,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85190395348,Yes,Asymmetries,"
This paper is relevant to your research because it directly addresses the issue of **information asymmetries** in the context of sustainable consumption.  

Specifically, the reference paper highlights how greenwashing practices create a situation where consumers lack access to accurate and transparent information about a company's environmental and social practices. This directly relates to your focus on ""information barriers"" and how they influence the prioritization of ethical aspects during decision-making.

Here's how you can utilize this paper in your research:

* **Support your argument:** You can cite this paper to support your claim that information asymmetries, particularly those created through greenwashing, can hinder consumers from making responsible consumption choices.
* **Provide context:** The paper offers valuable context about the prevalence of greenwashing in the fashion industry, a sector often associated with unsustainable practices. This can help ground your discussion within a real-world example.
* **Highlight the need for solutions:** The reference paper emphasizes the need for transparency and consumer education to combat greenwashing. This aligns with your conclusion about the importance of improved information systems and decision-support tools to foster responsible consumption. 



By incorporating this reference, you can strengthen your argument and provide a more nuanced understanding of the challenges consumers face when trying to make ethical purchasing decisions."
Srivastava S.; Dey S.K.; Sharma S.; Raina A.,"Srivastava, Sidharth (57194632072); Dey, Sandeep Kumar (57218873287); Sharma, Savita (57208197306); Raina, Ashish (57211289681)",57194632072; 57218873287; 57208197306; 57211289681,The Business of Green Hotels in an Emerging Economy: Role of Greenwashing and Mindfulness,2024,Springer International Handbooks of Education,Part F3475,,,1031.0,1048.0,17.0,0,10.1007/978-981-97-4318-6_67,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205360954&doi=10.1007%2f978-981-97-4318-6_67&partnerID=40&md5=ab32457ce15acb7f6d7e3b8c12c158b2,The investigation examines the predicting capacities of two variables; greenwashing effect and mindfulness toward green hotel intention. A total of 120 individuals were subjected to a psychometric evaluation onsite India’s first planned eco-tourism zone known as Thenmala. The study deploys a PLS-SEM architecture to expound the relationship among the variables in question. It is revealed through the bootstrapping algorithm output that mindfulness has a positive and significant association with green hotel intention. This further exposes the fact that the subjects consider themselves at the center of their environment and display biospheric values. This research is a stepping stone toward excavating sustainable solutions for the hotel industry in the world’s third largest polluting country having the fourth largest carbon emission due to tourism. This study contributes to the existing literature by diversifying the usage of two novel variables in the context of green purchase intention. The study answers the call to action by pertinent authors to empirically test aversive and self-reflective aspects of guest behavior when selecting hotels. The study advises hotel operators and executives to augment their offerings to appeal to the emerging genre of eco-sensitive tourists. Future studies are recommended to inquire upon the goal forming behavior of tourists intending to consume green hotels. © Springer Nature Singapore Pte Ltd 2024.,Green consumption; Green hotel; Greenwashing; Mindfulness,,Book chapter,Final,,Scopus,2-s2.0-85205360954,Possibly,"Asymmetries, Sustainability","
While the reference paper focuses on green hotels and doesn't directly address information-seeking processes, it touches upon relevant themes:

* **Asymmetries:** The paper highlights the issue of ""greenwashing,"" which is a form of information asymmetry where businesses mislead consumers about their environmental practices. This aligns with your interest in information barriers and how they can influence responsible consumption. You could use this paper to discuss how greenwashing creates an information barrier for consumers trying to make ethical choices.
* **Sustainability:** The paper emphasizes the importance of sustainable practices in the hotel industry. While not your primary focus, it provides context and supports the broader relevance of your research on responsible consumption within a sustainability framework.

**How to Utilize:**

1. **Greenwashing as an Information Barrier:** You could cite this paper to illustrate how greenwashing practices create an information barrier for consumers interested in responsible consumption. This would strengthen your argument about the need for transparent and accessible information.

2. **Contextualizing Your Research:** You could briefly mention this paper to highlight the growing importance of sustainable practices in specific industries (like tourism) and how your research contributes to understanding the consumer side of this equation.

**Important Note:**

The reference paper's primary focus is not on information-seeking behaviors. Therefore, its direct contribution to your research might be limited. However, it offers valuable insights into information asymmetries and the broader context of sustainable consumption, which can enrich your discussion."
Koch C.; Buser M.; Andersson R.,"Koch, Christian (55532910900); Buser, Martine (55884029700); Andersson, Rickard (57215351520)",55532910900; 55884029700; 57215351520,The Impact of the EU Taxonomy of Sustainable Finance on the Building Field,2023,Springer Proceedings in Business and Economics,,,,283.0,296.0,13.0,0,10.1007/978-3-031-25498-7_20,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172171261&doi=10.1007%2f978-3-031-25498-7_20&partnerID=40&md5=837f2ccadf09364a1f3b794f8907a360,"If the capitalist economy could be redirected to serve sustainability, it would bring hope for having a chance to mitigate the ongoing climate change. Following the Paris accord, the EU has undertaken several initiatives to regulate the private sector activities among which the EU taxonomy. The taxonomy aims at directing private finance investments by providing a classification system establishing a list of environmentally sustainable economic activities. The question this paper aims to address is what are the implications of regulation of finance and investments for companies in the building and real estate sector? Drawing on institutional theory, focusing on legitimacy, we follow the process of introducing the taxonomy within three companies – a contractor, a real estate company, and a consulting engineering company – to identify the changes the taxonomy can introduce in their business. Keeping in mind that establishing the regulation and the taxonomy is a compromise between politicians, industry lobbyists’ interventions, and technical experts’ advices, the proposed solutions may not be able to achieve the aforementioned goals. The cases were selected as possible forerunners of the impact of the taxonomy in Sweden. Two of the companies, a contractor and a real estate company, engaged recently in systematizing their measures, documenting their climate impact, and establishing strategic goals for reduction of energy and material consumption. The third, a consulting engineer company, has so far felt comfortable doing progressive statements. The extra effort of establishing documentation was carried out within 3 years during which the companies have had an unusually good economy. The analysis shows that the taxonomy is not demanding enough to provide the needed push for living up to the Paris accord and consequently risks becoming a publicly sanctioned greenwashing. The paper aims at reinforcing the development toward a sustainability of the Swedish construction sector. In doing so, it contributes to SDGs 11, 12, and 13. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Institutional theory; Legitimacy; Sustainable finance; Sweden; Taxonomy,,Conference paper,Final,,Scopus,2-s2.0-85172171261,Possibly,"Asymmetries, Sustainability","
While the reference paper focuses on the building sector and the EU Taxonomy, it touches upon elements relevant to your research:

* **Information Asymmetries:** The paper highlights the potential for greenwashing due to the taxonomy not being demanding enough. This aligns with your interest in information asymmetries and how they can mislead consumers about the true sustainability of products or practices. You could cite this paper to support your argument about the importance of transparent and accessible information to counter greenwashing and empower consumers to make informed decisions.

* **Sustainability:** The paper emphasizes the need for stronger regulations and a more robust taxonomy to drive genuine sustainability in the construction sector. This connects to your broader theme of responsible consumption, as sustainable practices are a key aspect of responsible decision-making. You could use this paper to contextualize your findings within a larger discussion about the systemic challenges to achieving sustainable consumption patterns.

**Important Considerations:**

* **Sector Specificity:** The reference paper is highly focused on the building sector. While the concepts of greenwashing and information asymmetry are transferable, be cautious about directly applying their findings to other consumption contexts without further analysis.
* **Limited Focus on Information Seeking:** The paper doesn't directly address consumer information-seeking behaviors, which is a central focus of your research. Its value lies more in highlighting the broader context of information availability and potential manipulation. 


Let me know if you have any other papers you'd like me to evaluate!"
Di Iorio V.; Testa F.; Korschun D.; Iraldo F.; Iovino R.,"Di Iorio, Vinicio (57225091773); Testa, Francesco (58872893300); Korschun, Daniel (12760777800); Iraldo, Fabio (6506317754); Iovino, Roberta (57217735959)",57225091773; 58872893300; 12760777800; 6506317754; 57217735959,Curious about the circular economy? Internal and external influences on information search about the product lifecycle,2023,Business Strategy and the Environment,32,4,,2193.0,2208.0,15.0,7,10.1002/bse.3243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137219427&doi=10.1002%2fbse.3243&partnerID=40&md5=0c5fd9b4543f8fbd3d0ca195913a1989,"The advent of the circular economy has repurposed traditional consumption habits. It is expanding opportunities for consumers to preserve the ecosystem throughout the whole product lifecycle. Drawing from extant rational and moral theories in behavior change, this research extends the understanding of consumer involvement in the circular economy by investigating whether being exposed to “green” clues can trigger additional information seeking and be empowering to people to contribute to the circular economy. In contrast to some prior research that suggests that information can overload consumers, this research finds that these “green” clues can stimulate greater information seeking, which can make the consumer feel more capable of effecting change through circular economy consumption. This study draws a conceptual model for behavioral change, tested on a representative sample of 4161 individuals across the five largest European countries. Results show that external “green” clues prompt consumers' information search on product lifecycle and ultimately make them feel empowered to contribute to the circular economy. Overall the research suggests that sustainability information can stimulate heightened curiosity and encourage consumers to become willing and active participants in this burgeoning circular economy. © 2022 The Authors. Business Strategy and The Environment published by ERP Environment and John Wiley & Sons Ltd.",behavioral model; circular economy; customer engagement; product lifecycle; sustainable consumption,consumption behavior; empowerment; environmental economics; green economy; life cycle analysis; morality; research work; sustainability; theoretical study,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85137219427,Yes,Information seeking,"
This paper directly addresses the role of information seeking in shaping consumer behavior related to sustainability, specifically within the context of the circular economy.  Here's how you can utilize it:

* **Supporting your argument:** The reference paper provides empirical evidence that ""green"" clues can stimulate information seeking about product lifecycles, leading to increased feelings of empowerment and willingness to participate in circular economy practices. This finding aligns with your argument about the importance of accessible information in driving responsible consumption.
* **Expanding on information seeking challenges:** While your paper focuses on information barriers, the reference paper explores the positive influence of ""green"" clues. You could use this contrast to discuss the types of information that are most effective in motivating responsible consumption and the potential for targeted information strategies.
* **Contextualizing your findings:** The reference paper's focus on the circular economy offers a specific context for understanding information seeking related to sustainability. You could draw parallels between the findings of both papers to highlight the broader applicability of your research to different areas of responsible consumption. 


By incorporating this reference paper, you can strengthen your arguments, provide additional context, and contribute to a more nuanced understanding of the relationship between information seeking and responsible consumption."
,,,"23rd International Conference on Computational Science and Its Applications, ICCSA 2023",2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14105 LNCS,,,,,5752.0,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169104464&partnerID=40&md5=b925f554a3b234a8ecd5a178a10e0702,"The proceedings contain 381 papers. The special focus in this conference is on Computational Science and Its Applications. The topics include: TECD: A Transformer Encoder Convolutional Decoder for High-Dimensional Biomedical Data; a New Exercise Environment for the Experimental Treatment of Visual Snow; evolution of Applications: From Natively Installed to Web and Decentralized; hybrid Security Approach for Behavioural Privacy of Business Processes in a Cloud Environment; classification of Text Writing Proficiency of L2 Learners; pedestrian Isochrones Facilities Overlapping with Openrouteservice. An Easy, Fast and Opensource Indicator in Novara, Italy; GeoBIM for Urban Sustainability Measuring: A State-of-the-Art in Building Permit Issuance; hypotheses of a Heterodox Evolutionary Assessment Approach for the Sustainable City; sustainable Aging in Aix-Marseille-Provence Metropolis: Assessment Indicators and Interactive Visualizations for Policy Making; urban Sustainability Towards European Missions and Challenges: Where Do We Stand?; exploratory Analysis of Building Stock: A Case Study for the City of Esch-sur-Alzette (Luxembourg); a Methodological Framework to Assess Individual Sustainable Behavior; application of a Self-supervised Learning Technique for Monitoring Industrial Spaces; a Quantum Annealing Solution to the Job Shop Scheduling Problem; Solving 3SAT and MIS Problems with Analog Quantum Machines; decision Support for Effective Urban Regeneration Projects: A Model Based on Community Interests – Project Costs Analysis; Information Retrieval Using Domain Adapted Language Models: Application to Resume Documents for HR Recruitment Assistance; gamification in Inclusive Education for Children with Disabilities: Global Trends and Approaches - A Bibliometric Review; assessment and Visualization of Course-Level and Curriculum-Level Competency Profiles; a Survey of Semantic Web Based Recommender Systems for E-Learning; COVID-19 Response and Its Aftermath: Experience in Introducing Online Learning Technologies to Diverse Teaching Staff; smartGraph: Static Analysis Tool for Solidity Smart Contracts; preface.",,,Conference review,Final,,Scopus,2-s2.0-85169104464,No,,
Chen V.Y.,"Chen, Victoria Y. (57193204838)",57193204838,How to make efficient purchase decisions? Proposing a model for consumer efficiency on social media,2024,Cogent Business and Management,11,1,2363414,,,,1,10.1080/23311975.2024.2363414,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196483076&doi=10.1080%2f23311975.2024.2363414&partnerID=40&md5=c0be769dd0189f8a61df1e80a02f6570,"Social media platforms have been major channels for consumers to search for product-related information, compare market prices, and consult other experienced buyers. Particularly, social media influencers play a crucial role in consumers’ decision-making process. Scholars have confirmed that information-seeking behavior enhances the efficiency of decision-making. However, a fundamental question arises about what other variables influence the relationship between information-seeking behavior and consumer efficiency. By combining the theory of consumer shopping productivity and para-social interaction, this study proposed a model that explains how information-seeking behavior enhances consumer efficiency through social media influencers and consumer knowledge. The study further extends the theory of consumer shopping productivity to a social commerce setting. This study used representative data from a national survey through face-to-face interviews in Taiwan. The results identified consumer knowledge as the strongest variable in the consumer decision-making process. Furthermore, social media influencer exposure moderately helps consumers to make efficient decisions. Finally, consumer knowledge moderates the relationship between information-seeking behavior and perceived consumer efficiency. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Business, Management and Accounting; Consumer efficiency; consumer knowledge; Consumer Psychology; ICT; Kaouther Kooli, Bournemouth University, United Kingdom of Great Britain and Northern Ireland; market knowledge; product information seeking; social media influencer",,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85196483076,Possibly,Seeking,"
While the reference paper focuses on consumer efficiency in social media shopping, it does touch upon the role of information-seeking behavior in decision-making. This aspect aligns with your paper's focus on how information-seeking processes influence responsible consumption. 

Here's how you could potentially utilize this reference:

* **Comparative Context:** You could use this paper to provide a broader context for your research by highlighting how information-seeking influences decision-making in general, not just within the realm of responsible consumption. This can help demonstrate the broader significance of your findings.
* **Methodological Insights:** The reference paper mentions using a national survey with face-to-face interviews. Depending on your methodology, you could draw inspiration from their approach or contrast it with your own.
* **Limitations Discussion:** You could use this paper to discuss the limitations of solely focusing on efficiency in decision-making. Your paper emphasizes the ethical and social aspects of consumption, which the reference paper doesn't fully address. This contrast can strengthen your argument for the importance of considering these broader dimensions.

**Important Note:**

The reference paper's primary focus is on consumer efficiency in a social commerce setting, which is not directly aligned with your research on responsible consumption. Therefore, its relevance is limited. Use it cautiously and primarily as a source of comparative context or methodological insights rather than a core supporting reference."
Hansen C.; Mehrotra R.; Hansen C.; Brost B.; Maystre L.; Lalmas M.,"Hansen, Christian (57209871212); Mehrotra, Rishabh (55522733300); Hansen, Casper (57104400600); Brost, Brian (57209224606); Maystre, Lucas (57189090769); Lalmas, Mounia (6603685753)",57209871212; 55522733300; 57104400600; 57209224606; 57189090769; 6603685753,Shifting Consumption towards Diverse Content on Music Streaming Platforms,2021,WSDM 2021 - Proceedings of the 14th ACM International Conference on Web Search and Data Mining,,,,238.0,246.0,8.0,23,10.1145/3437963.3441775,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103012766&doi=10.1145%2f3437963.3441775&partnerID=40&md5=21e4bc66c50340a65c9f1c40bb611f93,"Algorithmic recommendations shape music consumption at scale, and understanding the impact of various algorithmic models on how content is consumed is a central question for music streaming platforms. The ability to shift consumption towards less popular content and towards content different from user's typical historic tastes not only affords the platform ways of handling issues such as filter bubbles and popularity bias, but also contributes to maintaining a healthy and sustainable consumption patterns necessary for overall platform success. In this work, we view diversity as an enabler for shifting consumption and consider two notions of music diversity, based on taste similarity and popularity, and investigate how four different recommendation approaches optimized for user satisfaction, fare on diversity metrics. To investigate how the ranker complexity influences diversity, we use two well-known rankers and propose two new models of increased complexity: a feedback aware neural ranker and a reinforcement learning (RL) based ranker. We demonstrate that our models lead to gains in satisfaction, but at the cost of diversity. Such trade-off between model complexity and diversity necessitates the need for explicitly encoding diversity in the modeling process, for which we consider four types of approaches: interleaving based, submodularity based, interpolation, and RL reward modeling based. We find that our reward modeling based RL approach achieves the best trade-off between optimizing the satisfaction metric and surfacing diverse content, thereby enabling consumption shifting at scale. Our findings have implications for the design and deployment of practical approaches for music diversification, which we discuss at length. © 2021 ACM.",diversity; music; recommender systems; shifting consumption,Economic and social effects; Filtration; Information retrieval; Reinforcement learning; Websites; Algorithmic model; Diversity metrics; Model complexity; Model-based OPC; Modeling process; Music streaming; Sustainable consumption; User satisfaction; Data mining,Conference paper,Final,,Scopus,2-s2.0-85103012766,Possibly,Other,"
While the reference paper focuses on music streaming and diversity, it touches upon a relevant concept: **the influence of algorithmic recommendations on consumption patterns.**  

Here's how it could be potentially useful:

* **Analogical Reasoning:** You could draw parallels between the way algorithms shape music consumption and how information systems (like product recommendations, labeling schemes, etc.) influence responsible consumption choices.  
* **Highlighting Information Barriers:** The paper discusses how algorithms can create ""filter bubbles"" and reinforce existing preferences. This concept aligns with your interest in information barriers and how they can hinder consumers from considering ethically responsible options.
* **Discussing Algorithmic Transparency:** The reference paper explores different recommendation approaches, some more complex than others. This could spark a discussion in your paper about the need for transparency in information systems related to responsible consumption. Are complex algorithms understandable to consumers? Do they inadvertently obscure ethical considerations?

**Important Note:** The reference paper's primary focus is not on sustainability or responsible consumption. Therefore, its relevance is indirect and would require careful contextualization within your own research."
